tot_cnt,no,isu_cd,eng_cor_nm,std_ind_cd,ind_nm,lst_stk_vl,cpt,par_pr,iso_cd,Exchange
849,661,192820,COSMAX,032004,Manufacture of Other Chemical Products,"11,349,509","5,674,754,500",500,KRW,KOSPI
849,662,044820,COSMAX bti,116409,Other Financial Intermediation,"9,603,921","4,801,960,500",500,KRW,KOSPI
849,663,005070,COSMO AM&amp;T,032004,Manufacture of Other Chemical Products,"32,510,756","32,510,756,000","1,000",KRW,KOSPI
849,664,005420,COSMO CHEM,032004,Manufacture of Other Chemical Products,"38,408,228","38,408,228,000","1,000",KRW,KOSPI
849,671,021240,COWAY,199609,Other Personnal Service Activities n.e.c.,"71,909,133","40,335,092,000",500,KRW,KOSPI
849,451,000480,CR Holdings,032302,Manufacture of Refractory and Non-refractory Ceramic Products,"46,890,490","23,445,245,000",500,KRW,KOSPI
849,676,264900,CROWN,031006,"Manufacture of rice cakes, bakery products and sugar confectioneries","12,523,850","2,659,482,000",200,KRW,KOSPI
849,677,005740,CROWNHAITAI Holdings,116409,Other Financial Intermediation,"14,847,347","7,724,036,500",500,KRW,KOSPI
849,12,000590,CS HOLDINGS,116409,Other Financial Intermediation,"1,154,482","5,772,410,000","5,000",KRW,KOSPI
849,478,112610,CSWIND,032501,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators","42,171,403","21,085,701,500",500,KRW,KOSPI
849,480,308170,CTR Mobility,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"8,610,000","4,305,000,000",500,KRW,KOSPI
849,674,192400,CUCKOO,116409,Other Financial Intermediation,"35,562,185","3,556,218,500",100,KRW,KOSPI
849,675,284740,CUCKOO HOMESYS,147602,Renting of Personal and Household Goods,"22,437,330","2,243,733,000",100,KRW,KOSPI
849,635,051630,CYCC,032202,Manufacture of Plastic Products,"21,200,000","10,600,000,000",500,KRW,KOSPI
849,442,068270,Celltrion,032101,Manufacture of medicinal chemicals,"230,939,154","239,339,841,000","1,000",KRW,KOSPI
849,639,009310,Charm Engineering,032902,Manufacture of Special-Purpose Machinery,"16,973,483","8,911,740,000",500,KRW,KOSPI
849,610,030000,Cheil Worldwide,137103,Advertising,"115,041,225","23,008,245,000",200,KRW,KOSPI
849,619,462520,Chosun Refractories,032302,Manufacture of Refractory and Non-refractory Ceramic Products,"11,855,168","5,927,584,000",500,KRW,KOSPI
849,672,036420,ContentreeJoongAng,105901,"Motion Picture, Video, Broadcasting Programmes Production and Distribution","19,262,308","96,311,540,000","5,000",KRW,KOSPI
849,301,377190,D&amp;D Platform REIT,126801,Real Estate Activities with Own or Leased Property,"88,400,000","88,400,000,000","1,000",KRW,KOSPI
849,245,012800,DAECHANG,032402,Manufacture of Basic Precious and Non-ferrous Metals,"91,140,499","45,570,249,500",500,KRW,KOSPI
849,246,015230,DAECHANG FORGING,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"28,572,230","14,286,115,000",500,KRW,KOSPI
849,224,000490,DAEDONG CORP.,032902,Manufacture of Special-Purpose Machinery,"26,392,658","26,392,658,000","1,000",KRW,KOSPI
849,222,008060,DAEDUCK,116409,Other Financial Intermediation,"33,890,150","17,551,253,500",500,KRW,KOSPI
849,223,353200,DAEDUCK ELEC,032602,Manufacture of Electronic Components,"49,416,925","25,756,222,000",500,KRW,KOSPI
849,252,001130,DAEHAN FLR MILL,031005,"Manufacture of Grain Mill Products, Starches and Starch Products","1,690,000","8,450,000,000","5,000",KRW,KOSPI
849,253,439260,DAEHAN SHIPBUILDING,033101,Building of Ships and Boats,"38,526,312","192,631,560,000","5,000",KRW,KOSPI
849,250,084010,DAEHAN STEEL,032401,Manufacture of Basic Iron and Steel,"23,414,397","24,646,734,000","1,000",KRW,KOSPI
849,256,003830,DAEHAN SYNTH FIBR,032005,Manufacture of Man-Made Fibers,"1,328,000","6,640,000,000","5,000",KRW,KOSPI
849,258,069460,DAEHO AL,032402,Manufacture of Basic Precious and Non-ferrous Metals,"84,080,926","42,040,463,000",500,KRW,KOSPI
849,257,016090,DAEHYUN,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","44,282,310","26,906,155,000",500,KRW,KOSPI
849,220,019680,DAEKYO,168501,Primary Education,"84,702,850","52,064,920,000",500,KRW,KOSPI
849,226,005750,DAELIM BATH,032302,Manufacture of Refractory and Non-refractory Ceramic Products,"16,672,240","16,672,240,000","1,000",KRW,KOSPI
849,227,006570,DAELIM TRDG,032509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,"15,225,000","16,425,000,000","1,000",KRW,KOSPI
849,228,001680,DAESANG,031008,Manufacture of Other Food Products,"34,648,025","36,018,248,000","1,000",KRW,KOSPI
849,229,084690,DAESANG HOLDINGS,116409,Other Financial Intermediation,"36,212,538","37,126,020,000","1,000",KRW,KOSPI
849,232,016710,DAESUNG HOLDINGS,137105,"Activities of Head Offices, Management Consultancy Activities","16,089,459","16,089,459,000","1,000",KRW,KOSPI
849,231,117580,DAESUNGENERGY,043502,"Manufacture of Gas, Distribution of Gaseous Fuel Through Mains","27,500,000","27,500,000,000","1,000",KRW,KOSPI
849,230,128820,DAESUNGIND,074707,Retail Sale of Fuel,"45,235,478","45,235,478,000","1,000",KRW,KOSPI
849,243,024890,DAEWON CHEM,032202,Manufacture of Plastic Products,"41,249,152","20,624,576,000",500,KRW,KOSPI
849,242,003220,DAEWON PHARM,032102,Manufacture of Medicaments,"22,427,583","11,213,791,500",500,KRW,KOSPI
849,240,000430,DAEWONKANGUP,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"62,000,000","31,000,000,000",500,KRW,KOSPI
849,238,003090,DAEWOONG,032102,Manufacture of Medicaments,"58,141,980","29,070,990,000",500,KRW,KOSPI
849,239,069620,DAEWOONG PHARMA,032102,Manufacture of Medicaments,"11,586,575","28,966,437,500","2,500",KRW,KOSPI
849,236,014160,DAEYOUNG PKG,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","108,394,549","54,197,274,500",500,KRW,KOSPI
849,225,008110,DAIDONG ELECTRONICS,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"10,490,447","5,245,223,500",500,KRW,KOSPI
849,234,003540,DAISHIN SECU,116601,Activities Auxiliary to Financial Service Activities,"50,773,400","434,867,000,000","5,000",KRW,KOSPI
849,235,009190,DAIYANG MTL,032401,Manufacture of Basic Iron and Steel,"43,192,625","21,596,312,500",500,KRW,KOSPI
849,217,023590,DAOU TECH,106301,"Data Processing, Hosting and Related activities; Web Portals","44,866,617","22,433,308,500",500,KRW,KOSPI
849,215,058730,DASCO,032501,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators","18,796,941","9,998,470,500",500,KRW,KOSPI
849,241,006340,DAWON CBL,032803,Manufacture of Electric Lamps and Bulbs,"74,979,175","38,800,187,500",500,KRW,KOSPI
849,244,002880,DAYOU A-TECH,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"46,744,020","23,372,010,000",500,KRW,KOSPI
849,13,012030,DB,106201,"Computer programming, System Integration and Management Services","201,173,933","100,586,966,500",500,KRW,KOSPI
849,16,000990,DB HiTek,032601,Manufacture of Semiconductor,"44,398,588","221,992,940,000","5,000",KRW,KOSPI
849,14,005830,DB INSURANCE,116501,Insurance,"70,800,000","35,400,000,000",500,KRW,KOSPI
849,15,016610,DB Sec,116601,Activities Auxiliary to Financial Service Activities,"42,446,389","212,231,945,000","5,000",KRW,KOSPI
849,297,024090,DCM,032401,Manufacture of Basic Iron and Steel,"11,400,000","6,000,000,000",500,KRW,KOSPI
849,263,145720,DENTIUM,032701,Manufacture of Medical Appliances and Instruments,"11,068,830","6,184,415,000",500,KRW,KOSPI
849,17,000300,DHAUTONEX,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"82,129,188","41,064,594,000",500,KRW,KOSPI
849,298,003160,DI,032702,"Manufacture of Instruments and Appliances for Measuring, Checking, Testing, Navigating, controlling and Other Purposes, Except Optical Instruments","28,300,000","17,248,392,500",500,KRW,KOSPI
849,299,001530,DI DONG IL,074601,Wholesale on a Fee or Contract Basis,"19,729,280","13,747,368,000",500,KRW,KOSPI
849,300,092200,DIC,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"38,888,569","19,444,284,500",500,KRW,KOSPI
849,287,004890,DIC,032401,Manufacture of Basic Iron and Steel,"2,425,215","12,126,075,000","5,000",KRW,KOSPI
849,18,015590,DKME,032901,Manufacture of General Purpose Machinery,"236,981,544","118,490,772,000",500,KRW,KOSPI
849,19,000210,DL,032001,Manufacture of Basic Chemicals,"20,955,884","138,709,995,000","5,000",KRW,KOSPI
849,20,375500,DL E&amp;C,064102,Heavy Construction,"38,693,623","229,292,680,000","5,000",KRW,KOSPI
849,21,007340,DN AUTOMOTIVE,032802,Manufacture of primary battery and secondary battery,"58,510,865","6,056,496,500",100,KRW,KOSPI
849,264,002150,DOHWA ENGINEERING,137201,"Architectural, Engineering and Related Technical Services","33,720,000","16,860,000,000",500,KRW,KOSPI
849,288,002690,DONG IL STEEL MFG,032401,Manufacture of Basic Iron and Steel,"20,300,360","10,150,180,000",500,KRW,KOSPI
849,285,111380,DONG IN ENTECH,031501,"Manufacture of Luggage, Footwear and Similar Products","6,128,000","612,800,000",100,KRW,KOSPI
849,276,170900,DONG-A ST,032102,Manufacture of Medicaments,"9,352,645","46,763,225,000","5,000",KRW,KOSPI
849,270,007590,DONGBANG AGRO,032003,"Manufacture of Fertilizers, Pesticides, Germicides and Insecticides","13,617,577","6,808,788,500",500,KRW,KOSPI
849,269,004140,DONGBANG TRNSPT &amp; L,085209,Other Services Allied to Transport Agency,"47,971,766","47,971,766,000","1,000",KRW,KOSPI
849,265,460850,DONGKUK CM,032401,Manufacture of Basic Iron and Steel,"29,898,656","149,493,280,000","5,000",KRW,KOSPI
849,267,001230,DONGKUK HOLDINGS,116409,Other Financial Intermediation,"31,800,483","271,066,765,000","5,000",KRW,KOSPI
849,266,460860,DONGKUK STEEL,032401,Manufacture of Basic Iron and Steel,"49,608,017","248,040,085,000","5,000",KRW,KOSPI
849,268,023450,DONGNAMCHEMICAL,032001,Manufacture of Basic Chemicals,"3,500,000","3,125,564,000",500,KRW,KOSPI
849,272,026960,DONGSUH,074603,"Wholesale of Food, Beverages and Tobaccos","99,700,000","49,850,000,000",500,KRW,KOSPI
849,274,102260,DONGSUNG CHEMICAL,032002,Manufacture of Plastics and Synethetic Rubber in Primary forms,"50,176,791","50,176,791,000","1,000",KRW,KOSPI
849,273,002210,DONGSUNG PHARM,032102,Manufacture of Medicaments,"26,619,507","26,619,507,000","1,000",KRW,KOSPI
849,289,000020,DONGWHA PHARM,032102,Manufacture of Medicaments,"27,931,470","27,931,470,000","1,000",KRW,KOSPI
849,283,030720,DONGWON FISH,010301,Fishing and Gathering of Marine Materials,"4,653,805","23,269,025,000","5,000",KRW,KOSPI
849,282,006040,DONGWON IND,116409,Other Financial Intermediation,"44,147,986","44,147,986,000","1,000",KRW,KOSPI
849,281,018500,DONGWON METAL,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"46,754,933","23,377,466,500",500,KRW,KOSPI
849,279,084670,DONGYANG EXPRESS,084902,Transit and Ground Passenger Transportation,"2,895,569","16,959,295,000","5,000",KRW,KOSPI
849,290,000150,DOOSAN,116409,Other Financial Intermediation,"16,523,835","123,738,105,000","5,000",KRW,KOSPI
849,261,012510,DOUZONE BIZON,106201,"Computer programming, System Integration and Management Services","30,382,784","15,191,392,000",500,KRW,KOSPI
849,22,004840,DRB Holding,032201,Manufacture of Rubber Products,"19,930,000","9,965,000,000",500,KRW,KOSPI
849,286,163560,DRB Industrial,032201,Manufacture of Rubber Products,"13,900,000","6,950,000,000",500,KRW,KOSPI
849,296,192650,DREAMTECH,032602,Manufacture of Electronic Components,"68,890,041","7,178,358,500",100,KRW,KOSPI
849,25,017860,DS Dansuk,032004,Manufacture of Other Chemical Products,"17,584,212","8,792,106,000",500,KRW,KOSPI
849,23,155660,DSR,032402,Manufacture of Basic Precious and Non-ferrous Metals,"16,000,000","8,000,000,000",500,KRW,KOSPI
849,24,069730,DSR WIRE,032401,Manufacture of Basic Iron and Steel,"14,400,000","7,200,000,000",500,KRW,KOSPI
849,295,016740,DUAL,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"31,304,984","81,229,017,500","2,500",KRW,KOSPI
849,262,004830,DUKSUNG,032202,Manufacture of Plastic Products,"15,680,000","8,536,000,000",500,KRW,KOSPI
849,237,047040,DWEC,064101,Building Construction,"415,622,638","2,078,113,190,000","5,000",KRW,KOSPI
849,284,014820,DWS,032202,Manufacture of Plastic Products,"28,991,282","146,276,965,000","5,000",KRW,KOSPI
849,302,013570,DY,116409,Other Financial Intermediation,"26,319,633","13,159,816,500",500,KRW,KOSPI
849,303,024900,DY DEOKYANG,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"32,564,980","16,282,490,000",500,KRW,KOSPI
849,304,210540,DY POWER,032902,Manufacture of Special-Purpose Machinery,"11,041,708","5,520,854,000",500,KRW,KOSPI
849,26,092780,DYP,033001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,"13,168,460","6,584,230,000",500,KRW,KOSPI
849,221,006370,Daegu Dpt Str,074701,Retail Sale in Non-Specialized Stores,"10,821,611","54,108,055,000","5,000",KRW,KOSPI
849,233,0030R0,Daishin Value REIT,116402,Trust and collective Investment Businesses,"59,780,000","29,890,000,000",500,KRW,KOSPI
849,216,030210,Daol SEC,116601,Activities Auxiliary to Financial Service Activities,"60,911,106","304,555,530,000","5,000",KRW,KOSPI
849,277,028100,Dong Ah E&amp;C,064201,Site Preparation and Special Trade Construction for Civil Engineering and Buildings,"13,389,502","7,026,323,000",500,KRW,KOSPI
849,275,000640,Donga Socio Holdings,116409,Other Financial Intermediation,"6,536,434","32,682,170,000","5,000",KRW,KOSPI
849,271,005960,Dongbu Corporation,064102,Heavy Construction,"22,946,663","115,861,975,000","5,000",KRW,KOSPI
849,292,241560,Doosan Bobcat,032902,Manufacture of Special-Purpose Machinery,"95,856,065","50,124,583,000",500,KRW,KOSPI
849,293,034020,Doosan Enerbility,032901,Manufacture of General Purpose Machinery,"640,561,146","3,202,805,730,000","5,000",KRW,KOSPI
849,294,336260,Doosan Fuel Cell,032801,"Manufacture of Electric Motors, Generators and Transforming, Distributing and Controlling Apparatus of Electricity","65,493,726","8,184,422,600",100,KRW,KOSPI
849,291,454910,Doosan Robotics,032902,Manufacture of Special-Purpose Machinery,"64,819,980","32,409,990,000",500,KRW,KOSPI
849,260,192080,DoubleUGames,105802,Software Development and Supply,"21,495,906","10,839,825,500",500,KRW,KOSPI
849,218,145210,Dynamic Design,032902,Manufacture of Special-Purpose Machinery,"36,312,231","18,156,115,500",500,KRW,KOSPI
849,570,088260,E KOCREF,126801,Real Estate Activities with Own or Leased Property,"63,341,590","31,670,795,000",500,KRW,KOSPI
849,578,084680,E-WORLD,033301,Manufacture of Precious Metals and Ornamentations,"141,806,193","141,806,193,000","1,000",KRW,KOSPI
849,27,017940,E1,074607,Other Specialized Wholesale,"6,860,000","34,300,000,000","5,000",KRW,KOSPI
849,567,008250,EAGON IND,031602,Manufacture of Wood Products,"10,952,635","54,763,175,000","5,000",KRW,KOSPI
849,516,450080,ECOPRO MAT,032802,Manufacture of primary battery and secondary battery,"69,932,424","35,594,212,000",500,KRW,KOSPI
849,499,011090,ENEX,033201,Manufacture of Furniture,"59,991,641","29,995,820,500",500,KRW,KOSPI
849,576,074610,ENPLUS,032901,Manufacture of General Purpose Machinery,"73,374,729","36,687,364,500",500,KRW,KOSPI
849,28,365550,ESR KS REIT,126801,Real Estate Activities with Own or Leased Property,"246,089,000","246,089,000,000","1,000",KRW,KOSPI
849,563,001200,EUGENEIS,116601,Activities Auxiliary to Financial Service Activities,"96,866,418","537,592,090,000","5,000",KRW,KOSPI
849,559,000700,EUSU HOLDINGS,137105,"Activities of Head Offices, Management Consultancy Activities","26,041,812","65,104,530,000","2,500",KRW,KOSPI
849,517,019490,EXICURE HITRON,032605,Manufacture of Electronic Video and Audio Equipment,"76,432,270","38,216,135,000",500,KRW,KOSPI
849,29,383220,F&amp;F,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","38,307,075","3,830,707,500",100,KRW,KOSPI
849,30,007700,F&amp;F Holdings,116409,Other Financial Intermediation,"39,114,367","19,557,183,500",500,KRW,KOSPI
849,700,036580,FARMSCO,031005,"Manufacture of Grain Mill Products, Starches and Starch Products","36,727,943","18,363,971,500",500,KRW,KOSPI
849,834,133820,FINEBESTEEL,032401,Manufacture of Basic Iron and Steel,"31,339,928","16,944,964,000",500,KRW,KOSPI
849,703,010820,"FIRSTEC CO.,LTD.",032502,Manufacture of Weapons and Ammunition,"48,771,938","24,385,969,000",500,KRW,KOSPI
849,844,093370,FOOSUNG,032001,Manufacture of Basic Chemicals,"107,255,330","53,627,665,000",500,KRW,KOSPI
849,704,016800,FURSYS,033201,Manufacture of Furniture,"11,500,000","14,300,000,000","1,000",KRW,KOSPI
849,162,011420,GALAXIA SM,189101,Sports Services,"27,549,644","13,774,822,000",500,KRW,KOSPI
849,159,000500,GAON CABLE CO,032803,Manufacture of Electric Lamps and Bulbs,"16,543,115","82,715,575,000","5,000",KRW,KOSPI
849,211,006280,GC Corp,032102,Manufacture of Medicaments,"11,686,538","58,432,690,000","5,000",KRW,KOSPI
849,212,005250,GCH Corp,137105,"Activities of Head Offices, Management Consultancy Activities","47,028,210","25,744,900,000",500,KRW,KOSPI
849,637,011000,GENEONE,032102,Manufacture of Medicaments,"84,917,083","84,917,083,000","1,000",KRW,KOSPI
849,31,114090,GKL,189102,Amusement and theme Park Operation,"61,855,670","30,927,835,000",500,KRW,KOSPI
849,629,013870,GMB Korea,033003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),"19,072,280","9,536,140,000",500,KRW,KOSPI
849,185,083420,GREEN CHEMICAL,032004,Manufacture of Other Chemical Products,"24,000,000","12,000,000,000",500,KRW,KOSPI
849,33,006360,GS E&amp;C,064101,Building Construction,"85,581,490","427,907,450,000","5,000",KRW,KOSPI
849,34,001250,GS Global,074608,Wholesale of Non-Specialized Goods,"82,533,764","206,334,410,000","2,500",KRW,KOSPI
849,32,078930,GS Holdings,116409,Other Financial Intermediation,"92,915,378","473,501,020,000","5,000",KRW,KOSPI
849,36,499790,GS P&amp;L,116409,Other Financial Intermediation,"19,830,841","19,830,841,000","1,000",KRW,KOSPI
849,35,007070,GS Retail,074701,Retail Sale in Non-Specialized Stores,"83,607,415","83,607,415,000","1,000",KRW,KOSPI
849,179,037710,Gwangju Shinsegae,074701,Retail Sale in Non-Specialized Stores,"7,957,190","7,957,190,000","1,000",KRW,KOSPI
